Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,.328,.286,.850,18.6,3.9,2.5,0.7,-0.2,-.016,-5.1,-0.6
35,PHI,Willy Hernangómez,,7,344,5149,2524,1982,364,.533,.306,.713,15.0,7.3,5.8,1.1,16.3,.152,0.1,2.8
36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,.467,,.724,7.5,2.1,1.9,0.1,0.5,.105,-4.7,-0.2
37,PHI,Richaun Holmes,Bowling Green,10,489,9360,4164,2606,479,.605,.269,.751,19.1,8.5,5.3,1.0,30.7,.158,0.1,5.0
38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,.377,.304,.747,9.4,3.2,0.9,0.8,0.3,.016,-4.7,-0.6
39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,MIA,Josh Richardson,Tennessee,10,554,15815,6381,1685,1463,.428,.363,.846,28.5,11.5,3.0,2.6,27.7,.084,-0.6,5.5
41,BRK,Pat Connaughton,Notre Dame,10,595,11439,3579,2023,829,.438,.356,.773,19.2,6.0,3.4,1.4,24.6,.103,-0.5,4.4
42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
43,IND,Joe Young,Oregon,3,127,1077,429,130,119,.393,.296,.768,8.5,3.4,1.0,0.9,0.4,.016,-4.1,-0.6
44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,.373,.294,.779,20.6,7.0,2.0,2.8,3.2,.051,-2.8,-0.6
45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,
46,MIL,Norman Powell,UCLA,10,617,14938,8157,1648,941,.471,.398,.824,24.2,13.2,2.7,1.5,32.4,.104,0.0,7.7
47,PHI,Artūras Gudaitis,,,,,,,,,,,,,,,,,,
48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,.564,,.550,5.2,1.8,1.1,0.3,0.6,.178,-0.3,0.1
49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,
52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,
54,UTA,Dani Díez,,,,,,,,,,,,,,,,,,
55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,
56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,.400,,1.000,4.8,0.8,0.7,0.0,0.0,.069,-5.7,0.0
57,DEN,Nikola Radičević,,,,,,,,,,,,,,,,,,
58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,
59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
60,PHI,Luka Mitrović,,,,,,,,,,,,,,,,,,
1,CLE,Andrew Wiggins,Kansas,11,766,25888,14169,3425,1755,.449,.356,.725,33.8,18.5,4.5,2.3,33.1,.061,-1.4,4.2
2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,.494,.326,.743,27.5,14.1,5.5,2.0,13.8,.078,-0.8,2.5
3,PHI,Joel Embiid,Kansas,9,452,14407,12523,4987,1658,.501,.339,.828,31.9,27.7,11.0,3.7,64.9,.216,6.9,32.2
4,ORL,Aaron Gordon,Arizona,11,720,21076,9757,4474,1939,.484,.331,.693,29.3,13.6,6.2,2.7,46.9,.107,0.3,12.5
5,UTA,Dante Exum,,8,320,6005,1991,623,728,.435,.343,.765,18.8,6.2,1.9,2.3,6.6,.053,-2.8,-1.2
6,BOS,Marcus Smart,Oklahoma State,11,635,18726,6735,2183,2895,.388,.324,.776,29.5,10.6,3.4,4.6,34.1,.087,-0.4,7.7
7,LAL,Julius Randle,Kentucky,11,710,22738,13517,6491,2710,.471,.334,.753,32.0,19.0,9.1,3.8,49.6,.105,1.0,17.0
8,SAC,Nik Stauskas,Michigan,6,343,6701,2290,691,515,.389,.354,.812,19.5,6.7,2.0,1.5,3.9,.028,-3.0,-1.7
9,CHO,Noah Vonleh,Indiana,8,362,5854,1685,1790,264,.459,.307,.692,16.2,4.7,4.9,0.7,9.4,.077,-2.5,-0.7
10,PHI,Elfrid Payton,Louisiana,9,524,13894,5121,2086,3034,.444,.286,.623,26.5,9.8,4.0,5.8,15.1,.052,-1.1,3.1
11,DEN,Doug McDermott,Creighton,11,697,13572,5998,1456,664,.470,.411,.804,19.5,8.6,2.1,1.0,21.5,.076,-2.1,-0.5
12,ORL,Dario Šarić,,8,493,11079,5113,2626,940,.444,.360,.837,22.5,10.4,5.3,1.9,20.9,.091,-0.8,3.5
13,MIN,Zach LaVine,UCLA,11,654,21461,13590,2665,2595,.470,.391,.833,32.8,20.8,4.1,4.0,37.3,.083,0.7,14.5
14,PHO,T.J. Warren,NC State,9,385,10365,5497,1515,446,.505,.351,.780,26.9,14.3,3.9,1.2,20.9,.097,-0.4,4.1
15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,.406,.254,.680,13.1,4.0,2.9,0.6,-0.6,-.019,-5.9,-1.4
16,CHI,Jusuf Nurkić,,11,590,14347,6991,5219,1468,.501,.285,.667,24.3,11.8,8.8,2.5,33.2,.111,0.4,8.6
17,BOS,James Young,Kentucky,4,95,812,219,96,28,.367,.277,.563,8.5,2.3,1.0,0.3,0.8,.046,-3.4,-0.3
18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,.419,.317,.768,12.6,4.2,1.3,1.9,1.3,.026,-3.4,-0.8
19,CHI,Gary Harris,Michigan State,11,618,16665,6440,1415,1141,.446,.369,.810,27.0,10.4,2.3,1.8,26.8,.077,-1.4,2.7
20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,.403,.308,.836,12.3,4.2,2.6,0.7,1.5,.054,-2.7,-0.2
21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-2.6,-0.1
22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,1.7,0.2
23,UTA,Rodney Hood,Duke,8,448,10977,4656,1160,736,.420,.366,.841,24.5,10.4,2.6,1.6,17.4,.076,-1.2,2.2
24,CHO,Shabazz Napier,UConn,6,345,5986,2433,657,849,.397,.345,.815,17.4,7.1,1.9,2.5,8.1,.065,-0.7,2.0
25,HOU,Clint Capela,,11,664,17403,7954,6985,676,.617,.000,.544,26.2,12.0,10.5,1.0,69.6,.192,1.6,15.9
26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,.343,.295,.810,18.0,6.0,2.4,0.5,0.9,.021,-3.9,-1.0
27,PHO,Bogdan Bogdanović,,8,503,14298,7173,1679,1616,.437,.382,.846,28.4,14.3,3.3,3.2,24.8,.083,0.2,7.9
28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-4.3,-0.2
29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,.346,.312,.240,14.1,2.5,2.4,0.3,0.7,.030,-3.5,-0.4
30,SAS,Kyle Anderson,UCLA,11,714,15324,4876,3067,1978,.478,.340,.716,21.5,6.8,4.3,2.8,39.4,.123,1.7,14.5
31,MIL,Damien Inglis,,1,20,156,36,31,10,.351,.231,.875,7.8,1.8,1.6,0.5,-0.1,-.024,-5.6,-0.1
32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,.412,.290,.776,14.1,5.3,2.2,0.6,1.3,.030,-2.8,-0.4
33,CLE,Joe Harris,Virginia,10,504,12298,5185,1521,790,.479,.436,.771,24.4,10.3,3.0,1.6,23.1,.090,-0.7,4.1
34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,.346,.263,.750,14.3,4.3,2.2,0.8,-0.6,-.039,-5.9,-0.8
35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,.581,,.531,5.4,2.4,1.4,0.3,0.6,.202,0.1,0.1
36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,.402,.360,.663,11.5,3.5,2.4,0.5,0.2,.006,-6.2,-1.8
37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,,
38,DET,Spencer Dinwiddie,Colorado,11,621,17219,8078,1851,3153,.414,.333,.796,27.7,13.0,3.0,5.1,36.0,.100,-0.1,8.1
39,PHI,Jerami Grant,Syracuse,11,719,20054,9428,2826,1150,.449,.364,.753,27.9,13.1,3.9,1.6,36.6,.088,-0.5,7.8
40,MIN,Glenn Robinson III,Michigan,7,304,5299,1804,776,238,.457,.373,.779,17.4,5.9,2.6,0.8,7.9,.071,-1.7,0.4
41,DEN,Nikola Jokić,,10,745,23649,16210,8141,5383,.560,.360,.824,31.7,21.8,10.9,7.2,128.0,.260,10.3,73.3
42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,.347,.238,.680,9.4,2.6,1.4,0.4,-0.1,-.020,-6.5,-0.3
43,ATL,Edy Tavares,,2,13,101,33,32,4,.625,,.273,7.8,2.5,2.5,0.3,0.2,.118,-0.4,0.0
44,MIN,Markel Brown,Oklahoma State,3,113,1794,584,234,132,.380,.295,.781,15.9,5.2,2.1,1.2,1.1,.029,-2.9,-0.4
45,CHO,Dwight Powell,Stanford,11,705,12565,4754,2995,732,.604,.294,.736,17.8,6.7,4.2,1.0,47.9,.183,0.8,9.0
46,WAS,Jordan Clarkson,Missouri,11,753,20823,12029,2523,2211,.436,.336,.829,27.7,16.0,3.4,2.9,24.0,.055,-0.9,5.5
47,PHI,Russ Smith,Louisville,2,27,131,53,15,19,.319,.188,.769,4.9,2.0,0.6,0.7,-0.2,-.068,-5.1,-0.1
48,MIL,Lamar Patterson,Pitt,2,40,435,93,57,45,.326,.236,.720,10.9,2.3,1.4,1.1,0.1,.006,-5.7,-0.4
49,CHI,Cameron Bairstow,New Mexico,2,36,167,44,36,7,.296,.200,.846,4.6,1.2,1.0,0.2,-0.1,-.021,-8.1,-0.3
50,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,,,,,
51,NYK,Thanasis Antetokounmpo,,6,198,1520,481,307,115,.509,.143,.529,7.7,2.4,1.6,0.6,1.9,.059,-4.3,-0.9
52,PHI,Vasilije Micić,,2,101,1961,691,177,390,.395,.315,.819,19.4,6.8,1.8,3.9,-0.6,-.015,-5.6,-1.8
53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
54,PHI,Nemanja Dangubić,,,,,,,,,,,,,,,,,,
55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,.345,.190,.548,15.2,2.9,1.4,2.0,0.1,.006,-5.1,-0.8
56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,.304,.222,.375,10.4,2.2,1.6,0.7,-0.3,-.028,-5.5,-0.4
57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
58,SAS,Jordan McRae,Tennessee,4,123,1696,846,225,167,.417,.355,.772,13.8,6.9,1.8,1.4,1.7,.048,-2.1,0.0
59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,,,,
60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,.444,.125,.583,10.0,3.5,2.8,0.3,0.9,.071,-3.3,-0.2
1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-4.8,-1.3
2,ORL,Victor Oladipo,Indiana,10,504,16247,8503,2245,1970,.436,.347,.788,32.2,16.9,4.5,3.9,25.6,.076,0.7,11.0
3,WAS,Otto Porter Jr.,Georgetown,11,527,13400,5419,2599,783,.477,.397,.797,25.4,10.3,4.9,1.5,36.7,.132,1.7,12.5
4,CHA,Cody Zeller,Indiana,11,552,11510,4376,3125,740,.520,.220,.727,20.9,7.9,5.7,1.3,33.5,.140,-0.7,3.9
5,PHO,Alex Len,Maryland,12,690,11754,4608,3624,589,.510,.322,.678,17.0,6.7,5.3,0.9,23.9,.097,-1.9,0.3
6,NOH,Nerlens Noel,Kentucky,9,467,10281,3338,2835,501,.546,.200,.655,22.0,7.1,6.1,1.1,28.3,.132,0.9,7.4
7,SAC,Ben McLemore,Kansas,9,556,12534,5015,1269,563,.414,.363,.780,22.5,9.0,2.3,1.0,9.0,.035,-3.1,-3.4
8,DET,Kentavious Caldwell-Pope,Georgia,12,912,27036,10172,2708,1652,.428,.367,.822,29.6,11.2,3.0,1.8,48.5,.086,-0.9,7.4
9,MIN,Trey Burke,Michigan,9,498,10401,4792,878,1522,.410,.345,.810,20.9,9.6,1.8,3.1,12.9,.060,-1.3,1.7
10,POR,CJ McCollum,Lehigh,12,787,25264,15414,2867,3005,.453,.397,.799,32.1,19.6,3.6,3.8,52.0,.099,1.2,20.5
11,PHI,Michael Carter-Williams,Syracuse,9,395,9942,4040,1718,1708,.402,.256,.705,25.2,10.2,4.3,4.3,6.6,.032,-1.2,1.8
12,OKC,Steven Adams,Pitt,11,764,19738,6743,6115,1145,.586,.059,.533,25.8,8.8,8.0,1.5,61.6,.150,0.5,12.5
13,DAL,Kelly Olynyk,Gonzaga,12,800,18000,8139,4124,1975,.486,.371,.796,22.5,10.2,5.2,2.5,46.2,.123,0.9,12.9
14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-2.0,0.0
15,MIL,Giannis Antetokounmpo,,12,859,28234,20538,8530,4288,.551,.284,.693,32.9,23.9,9.9,5.0,120.8,.205,6.7,62.4
16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,.632,.265,.640,12.4,3.2,2.8,0.5,6.0,.165,2.3,1.9
17,ATL,Dennis Schröder,,12,842,23024,11738,2434,4097,.432,.342,.836,27.3,13.9,2.9,4.9,32.7,.068,-1.5,3.0
18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.4,-0.6
19,CLE,Sergey Karasev,,3,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.4,-0.4
20,CHI,Tony Snell,New Mexico,9,601,13092,3672,1371,669,.431,.394,.846,21.8,6.1,2.3,1.1,18.5,.068,-2.0,-0.1
21,UTA,Gorgui Dieng,Louisville,10,628,12625,4591,3534,837,.496,.355,.791,20.1,7.3,5.6,1.3,30.7,.117,0.2,7.1
22,BRK,Mason Plumlee,Duke,12,860,18797,6918,5767,2045,.595,.039,.577,21.9,8.0,6.7,2.4,57.8,.148,1.2,15.1
23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,.388,.331,.797,21.5,5.5,3.1,1.5,11.9,.059,-2.1,-0.3
24,NYK,Tim Hardaway Jr.,Michigan,12,813,22262,11151,2338,1486,.417,.361,.815,27.4,13.7,2.9,1.8,33.8,.073,-1.2,4.5
25,LAC,Reggie Bullock,UNC,11,556,12556,4039,1451,647,.424,.385,.827,22.6,7.3,2.6,1.2,21.4,.082,-1.2,2.6
26,MIN,Andre Roberson,Colorado,7,307,6801,1382,1230,265,.473,.253,.468,22.2,4.5,4.0,0.9,12.6,.089,-0.6,2.3
27,DEN,Rudy Gobert,,12,829,25430,10458,9700,1123,.656,.000,.641,30.7,12.6,11.7,1.4,116.1,.219,3.3,34.0
28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,,,,
29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-3.0,-0.6
30,PHO,Nemanja Nedović,,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-.132,-10.0,-0.3
31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,.425,.387,.831,24.0,9.1,2.8,1.1,13.7,.072,-1.6,0.9
32,OKC,Álex Abrines,,3,174,2777,924,248,88,.387,.368,.880,16.0,5.3,1.4,0.5,5.0,.086,-1.9,0.1
33,CLE,Carrick Felix,Arizona State,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-3.4,0.0
34,HOU,Isaiah Canaan,Murray State,6,235,4799,1913,438,454,.371,.351,.836,20.4,8.1,1.9,1.9,4.3,.043,-2.4,-0.5
35,PHI,Glen Rice Jr.,Georgia Tech,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-.065,-6.6,-0.2
36,SAC,Ray McCallum,Detroit Mercy,3,154,2808,920,306,368,.408,.335,.711,18.2,6.0,2.0,2.4,2.1,.035,-2.6,-0.4
37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,0.4,0.0
38,WAS,Nate Wolters,South Dakota State,3,84,1575,461,185,209,.423,.261,.635,18.8,5.5,2.2,2.5,0.9,.028,-2.6,-0.2
39,POR,Jeff Withey,Kansas,5,207,2072,666,518,64,.525,.143,.716,10.0,3.2,2.5,0.3,6.8,.157,0.5,1.3
40,POR,Grant Jerrett,Arizona,1,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-.128,-10.8,-0.1
41,MEM,Jamaal Franklin,San Diego State,2,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-.006,-5.9,-0.2
42,PHI,Pierre Jackson,Baylor,1,8,84,35,9,19,.333,.273,.857,10.5,4.4,1.1,2.4,0.0,.021,-4.4,-0.1
43,MIL,Ricky Ledo,Providence,2,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-.096,-7.6,-0.4
44,DAL,Mike Muscala,Bucknell,11,548,8239,3206,1699,464,.451,.373,.830,15.0,5.9,3.1,0.8,19.2,.112,-0.2,3.7
45,POR,Marko Todorović,,,,,,,,,,,,,,,,,,
46,UTA,Erick Green,Virginia Tech,2,52,452,159,37,42,.377,.288,.857,8.7,3.1,0.7,0.8,0.1,.011,-4.0,-0.2
47,ATL,Raul Neto,,8,435,6765,2470,658,913,.458,.361,.812,15.6,5.7,1.5,2.1,11.6,.082,-1.5,0.8
48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,.378,.316,.797,19.2,6.0,3.1,1.3,3.0,.046,-2.6,-0.5
49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-.055,-8.6,-0.1
50,ATL,James Ennis III,Cal State Long Beach,8,395,8022,2629,1306,373,.457,.360,.797,20.3,6.7,3.3,0.9,16.2,.097,-1.5,0.9
51,ORL,Romero Osby,Oklahoma,,,,,,,,,,,,,,,,,
52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,.364,.170,.707,11.5,2.8,1.5,1.8,-0.2,-.007,-3.5,-0.5
53,IND,Colton Iverson,Colorado State,,,,,,,,,,,,,,,,,
54,WAS,Arsalan Kazemi,Oregon,,,,,,,,,,,,,,,,,
55,MEM,Joffrey Lauvergne,,4,208,2823,1159,789,180,.479,.285,.719,13.6,5.6,3.8,0.9,5.2,.089,-2.1,-0.1
56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-.032,-6.4,-0.2
57,PHO,Alex Oriakhi,Missouri,,,,,,,,,,,,,,,,,
58,SAS,Deshaun Thomas,Ohio State,,,,,,,,,,,,,,,,,
59,MIN,Bojan Dubljević,,,,,,,,,,,,,,,,,,
60,MEM,Jānis Timma,,,,,,,,,,,,,,,,,,
1,NOH,Anthony Davis,Kentucky,13,787,27115,18978,8416,2009,.522,.296,.794,34.5,24.1,10.7,2.6,118.8,.210,5.9,54.2
2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,.474,.272,.715,24.6,8.4,5.4,1.2,21.0,.092,-1.8,0.6
3,WAS,Bradley Beal,Florida,13,801,27560,17257,3246,3432,.464,.376,.821,34.4,21.5,4.1,4.3,58.6,.102,1.5,24.0
4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,.412,.346,.694,28.2,13.1,2.6,2.8,8.8,.036,-2.1,-0.4
5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.5,-1.6
6,POR,Damian Lillard,Weber State,13,900,32614,22598,3845,6069,.439,.371,.899,36.2,25.1,4.3,6.7,118.4,.174,4.6,54.5
7,GSW,Harrison Barnes,UNC,13,993,31029,13807,4742,1739,.460,.385,.810,31.2,13.9,4.8,1.8,61.6,.095,-0.8,9.1
8,TOR,Terrence Ross,Washington,11,733,17956,8047,2061,936,.418,.362,.837,24.5,11.0,2.8,1.3,25.0,.067,-1.0,4.5
9,DET,Andre Drummond,UConn,13,904,24220,11293,10981,1107,.542,.129,.486,26.8,12.5,12.1,1.2,76.6,.152,1.0,18.5
10,NOH,Austin Rivers,Duke,11,707,16858,5996,1442,1513,.419,.349,.653,23.8,8.5,2.0,2.1,15.2,.043,-3.1,-4.5
11,POR,Meyers Leonard,Illinois,10,456,7272,2545,1771,396,.482,.390,.812,15.9,5.6,3.9,0.9,15.8,.104,-1.5,1.0
12,HOU,Jeremy Lamb,UConn,10,573,11896,5805,2073,904,.439,.342,.857,20.8,10.1,3.6,1.6,26.8,.108,0.6,7.9
13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-3.5,-1.1
14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,.540,.250,.568,19.7,7.6,5.3,1.1,20.7,.113,-0.5,3.4
15,PHI,Maurice Harkless,St. John's,10,621,14019,4259,2198,572,.474,.320,.624,22.6,6.9,3.5,0.9,23.0,.079,-0.8,4.1
16,HOU,Royce White,Iowa State,1,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.121,-16.9,0.0
17,DAL,Tyler Zeller,UNC,8,414,7254,2873,1820,367,.508,.286,.764,17.5,6.9,4.4,0.9,17.1,.113,-2.0,0.0
18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,.501,.297,.621,23.8,10.4,5.7,1.0,14.7,.127,0.5,3.6
19,ORL,Andrew Nicholson,St. Bonaventure,5,285,4080,1700,857,126,.467,.321,.773,14.3,6.0,3.0,0.4,3.8,.045,-3.6,-1.6
20,DEN,Evan Fournier,,12,704,19514,9607,1878,1759,.441,.374,.799,27.7,13.6,2.7,2.5,30.5,.075,-1.1,4.3
21,BOS,Jared Sullinger,Ohio State,5,269,6532,2893,2006,477,.436,.272,.723,24.3,10.8,7.5,1.8,15.3,.113,-0.4,2.7
22,BOS,Fab Melo,Syracuse,1,6,36,7,3,0,.500,,.250,6.0,1.2,0.5,0.0,0.0,.021,-7.6,-0.1
23,ATL,John Jenkins,Vanderbilt,6,171,2183,855,250,138,.441,.367,.847,12.8,5.0,1.5,0.8,3.0,.065,-1.9,0.1
24,CLE,Jared Cunningham,Oregon State,4,84,605,197,56,39,.347,.306,.674,7.2,2.3,0.7,0.5,0.2,.017,-5.7,-0.6
25,MEM,Tony Wroten,Washington,4,145,3076,1604,363,437,.413,.231,.647,21.2,11.1,2.5,3.0,-1.3,-.021,-3.4,-1.1
26,IND,Miles Plumlee,Duke,7,346,5658,1697,1562,178,.542,,.543,16.4,4.9,4.5,0.5,10.6,.090,-1.9,0.2
27,MIA,Arnett Moultrie,Mississippi State,2,59,729,210,180,12,.547,,.667,12.4,3.6,3.1,0.2,1.7,.113,-2.8,-0.1
28,OKC,Perry Jones,Baylor,3,143,1675,488,252,54,.420,.293,.660,11.7,3.4,1.8,0.4,1.7,.048,-3.5,-0.6
29,CHI,Marquis Teague,Kentucky,3,91,909,217,90,134,.343,.222,.661,10.0,2.4,1.0,1.5,-0.9,-.045,-6.5,-1.0
30,GSW,Festus Ezeli,Vanderbilt,3,170,2394,712,725,63,.513,,.557,14.1,4.2,4.3,0.4,5.9,.119,-2.0,0.0
31,CHA,Jeff Taylor,Vanderbilt,3,132,2566,807,263,107,.409,.319,.665,19.4,6.1,2.0,0.8,1.3,.024,-4.2,-1.5
32,WAS,Tomáš Satoranský,,6,388,8617,2676,1117,1586,.468,.354,.820,22.2,6.9,2.9,4.1,17.9,.100,-0.9,2.4
33,CLE,Bernard James,Florida State,3,92,761,203,212,13,.497,.000,.680,8.3,2.2,2.3,0.1,1.9,.117,-1.8,0.0
34,CLE,Jae Crowder,Marquette,13,812,20161,7515,3391,1281,.418,.347,.777,24.8,9.3,4.2,1.6,43.0,.102,0.1,10.9
35,GSW,Draymond Green,Michigan State,13,881,25282,7665,6087,4948,.449,.320,.710,28.7,8.7,6.9,5.6,64.6,.123,2.3,27.6
36,SAC,Orlando Johnson,UC Santa Barbara,3,103,1112,329,180,69,.358,.311,.727,10.8,3.2,1.7,0.7,1.4,.059,-2.4,-0.1
37,TOR,Quincy Acy,Baylor,7,337,5392,1642,1179,217,.444,.350,.759,16.0,4.9,3.5,0.6,8.7,.078,-2.0,-0.1
38,DEN,Quincy Miller,Baylor,3,69,934,295,169,37,.350,.292,.706,13.5,4.3,2.4,0.5,-0.1,-.003,-3.9,-0.5
39,DET,Khris Middleton,Texas A&M,13,776,23823,12901,3700,3066,.460,.387,.878,30.7,16.6,4.8,4.0,57.9,.117,0.8,16.6
40,POR,Will Barton,Memphis,11,679,17116,7625,2792,1817,.430,.355,.787,25.2,11.2,4.1,2.7,26.5,.074,-0.4,6.9
41,POR,Tyshawn Taylor,Kansas,2,61,491,174,33,57,.354,.360,.684,8.0,2.9,0.5,0.9,-0.9,-.088,-8.1,-0.8
42,MIL,Doron Lamb,Kentucky,2,100,1272,345,95,75,.381,.394,.700,12.7,3.5,1.0,0.8,0.1,.005,-5.8,-1.2
43,ATL,Mike Scott,Virginia,9,555,9182,3736,1727,499,.453,.362,.757,16.5,6.7,3.1,0.9,16.8,.088,-1.7,0.6
44,DET,Kim English,Missouri,1,41,407,119,37,26,.375,.280,.724,9.9,2.9,0.9,0.6,0.2,.021,-4.2,-0.2
45,PHI,Justin Hamilton,LSU,3,113,1961,687,403,91,.464,.309,.798,17.4,6.1,3.6,0.8,3.7,.091,-0.9,0.5
46,NOH,Darius Miller,Kentucky,6,271,5358,1597,447,367,.419,.383,.840,19.8,5.9,1.6,1.4,6.5,.059,-2.3,-0.4
47,UTA,Kevin Murphy,Tennessee Technological University,1,17,52,15,4,2,.250,.200,,3.1,0.9,0.2,0.1,-0.3,-.272,-16.8,-0.2
48,NYK,Kostas Papanikolaou,,2,69,1089,249,158,101,.354,.297,.688,15.8,3.6,2.3,1.5,0.3,.015,-2.7,-0.2
49,ORL,Kyle O'Quinn,Norfolk State,8,472,6714,2568,2166,643,.517,.218,.740,14.2,5.4,4.6,1.4,17.8,.128,0.9,5.0
50,DEN,İzzet Türkyılmaz,,,,,,,,,,,,,,,,,,
51,BOS,Kris Joseph,Syracuse,1,10,54,9,7,1,.143,.000,.625,5.4,0.9,0.7,0.1,-0.1,-.127,-9.9,-0.1
52,GSW,Ognjen Kuzmić,,2,37,164,35,38,8,.520,,.600,4.4,0.9,1.0,0.2,0.2,.061,-5.6,-0.2
53,LAC,Furkan Aldemir,,1,41,540,93,176,28,.513,.000,.481,13.2,2.3,4.3,0.7,1.4,.122,-3.6,-0.2
54,PHI,Tornike Shengelia,,2,45,247,59,39,17,.451,.125,.500,5.5,1.3,0.9,0.4,-0.2,-.032,-7.0,-0.3
55,DAL,Darius Johnson-Odom,Marquette,2,7,21,0,6,2,.000,.000,.000,3.0,0.0,0.9,0.3,-0.3,-.597,-25.5,-0.1
